article,concreteness
https://en.wikipedia.org/wiki/Monica_Biernat,2.2429411764705884

https://en.wikipedia.org/wiki/Upper_Cherwell_at_Trafford_House,2.0875

https://en.wikipedia.org/wiki/Seshcha_(air_base),2.618125

https://en.wikipedia.org/wiki/Bruno_Scipioni,2.838
https://en.wikipedia.org/wiki/Michael_Brand_(art_historian),2.680625
https://en.wikipedia.org/wiki/Barley_bread,2.8952000000000004
/wiki/International_Union_of_Biochemistry_and_Molecular_Biology,2.25
https://en.wikipedia.org/wiki/Eli_Goldschmidt,2.1721428571428576
https://en.wikipedia.org/wiki/Nona,2.2509090909090905
https://en.wikipedia.org/wiki/Deh-e_Ziarat,2.2314285714285713
/wiki/Integral_nationalism,1.9284615384615384
https://en.wikipedia.org/wiki/Justus_Juncker,2.3753846153846156
https://en.wikipedia.org/wiki/Badlu_Singh,2.152307692307692
https://en.wikipedia.org/wiki/Pulidindi,2.4423076923076925
https://en.wikipedia.org/wiki/Nick_de_Jong_(sailor),2.4792307692307696
https://en.wikipedia.org/wiki/Kamal_Salman_Masud,2.6138461538461537
https://en.wikipedia.org/wiki/NC_State%E2%80%93Wake_Forest_rivalry,2.1766666666666667
https://en.wikipedia.org/wiki/A%C3%ADda_Ayala,2.3150000000000004
https://en.wikipedia.org/wiki/Alfred_E._Hunt,1.8942857142857144
https://en.wikipedia.org/wiki/Gujarati_(Unicode_block),2.301333333333333
https://en.wikipedia.org/wiki/Siddhartha_Basu,2.6530769230769233
https://en.wikipedia.org/wiki/Bertrando_de_Mignanelli,2.149
https://en.wikipedia.org/wiki/2009_Promotional_League_Final,1.9953846153846155
https://en.wikipedia.org/wiki/Ironclad_warship,2.7611764705882353
https://en.wikipedia.org/wiki/London_Borough_of_Harrow,2.9549999999999996
https://en.wikipedia.org/wiki/Coin,2.613703703703704
https://en.wikipedia.org/wiki/Park_Place_(Norfolk),2.581176470588235
https://en.wikipedia.org/wiki/%C5%81ownica,2.5279999999999996
https://en.wikipedia.org/wiki/Rat_Pack_Filmproduktion,2.4644444444444447
